"Блок справки";"Раздел справки";"Ссылка на раздел справки";"Видео №";"Название видео";"Длительность видео";"Опубликовано";"Тайм-код";"Секунды";"Тема эпизода";"Ссылка на тайм-код";"Ссылка на видео"
"Материалы и кромки";"Массовое редактирование плит и массовый ввод цен";"https://help.planplace.online/massovoe-redaktirovanie-plit/";"2";"PlanPlace - Как массово редактировать плитные материалы в PlanPlace: толщина, кромки, цены, Excel";"23:52";"2026-04-03T23:22:56";"00:48";"48";"Интерфейс массовых операций плитных материалов: выделение, категории, кнопки действий";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/?t=48";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/"
"Материалы и кромки";"Массовое редактирование плит и массовый ввод цен";"https://help.planplace.online/massovoe-redaktirovanie-plit/";"2";"PlanPlace - Как массово редактировать плитные материалы в PlanPlace: толщина, кромки, цены, Excel";"23:52";"2026-04-03T23:22:56";"02:00";"120";"Работа с толщинами и декорам: принципы работы материалов в PlanPlace 2.0";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/?t=120";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/"
"Материалы и кромки";"Массовое редактирование плит и массовый ввод цен";"https://help.planplace.online/massovoe-redaktirovanie-plit/";"2";"PlanPlace - Как массово редактировать плитные материалы в PlanPlace: толщина, кромки, цены, Excel";"23:52";"2026-04-03T23:22:56";"03:00";"180";"Добавление новой толщины и автоматическая генерация кромок";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/?t=180";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/"
"Материалы и кромки";"Группы плитных материалов";"https://help.planplace.online/gruppy-plitnyh-materialov/";"2";"PlanPlace - Как массово редактировать плитные материалы в PlanPlace: толщина, кромки, цены, Excel";"23:52";"2026-04-03T23:22:56";"05:19";"319";"Управление видимостью: скрытие категорий и отдельных декоров плит, безопасное удаление";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/?t=319";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/"
"Материалы и кромки";"Массовое редактирование плит и массовый ввод цен";"https://help.planplace.online/massovoe-redaktirovanie-plit/";"2";"PlanPlace - Как массово редактировать плитные материалы в PlanPlace: толщина, кромки, цены, Excel";"23:52";"2026-04-03T23:22:56";"07:29";"449";"Импорт/Экспорт в Excel: структура таблицы и ключевые поля";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/?t=449";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/"
"Цены, прайсы и наценки";"Прайс-листы";"https://help.planplace.online/prays-listy/";"2";"PlanPlace - Как массово редактировать плитные материалы в PlanPlace: толщина, кромки, цены, Excel";"23:52";"2026-04-03T23:22:56";"10:43";"643";"Массовая настройка цен: ручной ввод, привязка к прайс-листу";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/?t=643";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/"
"Цены, прайсы и наценки";"Прайс-листы";"https://help.planplace.online/prays-listy/";"2";"PlanPlace - Как массово редактировать плитные материалы в PlanPlace: толщина, кромки, цены, Excel";"23:52";"2026-04-03T23:22:56";"14:11";"851";"Массовое изменение параметров: привязка цен, удаление толщин, смена типа расчёта";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/?t=851";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/"
"Цены, прайсы и наценки";"Прайс-листы";"https://help.planplace.online/prays-listy/";"2";"PlanPlace - Как массово редактировать плитные материалы в PlanPlace: толщина, кромки, цены, Excel";"23:52";"2026-04-03T23:22:56";"16:27";"987";"Тонкая настройка: названия, артикулы, визуальное отображение, привязка по артикулу";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/?t=987";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/"
"Материалы и кромки";"Массовое редактирование плит и массовый ввод цен";"https://help.planplace.online/massovoe-redaktirovanie-plit/";"2";"PlanPlace - Как массово редактировать плитные материалы в PlanPlace: толщина, кромки, цены, Excel";"23:52";"2026-04-03T23:22:56";"17:48";"1068";"Сохранение и обратный импорт: как система обрабатывает изменения";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/?t=1068";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/"
"Сцена, спецификация и экспорт";"Экспорт в производство";"https://help.planplace.online/eksport-v-proizvodstvo/";"2";"PlanPlace - Как массово редактировать плитные материалы в PlanPlace: толщина, кромки, цены, Excel";"23:52";"2026-04-03T23:22:56";"22:27";"1347";"Где ещё работает импорт/экспорт: кромки, столешницы, прайс-лист, декоры";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/?t=1347";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/"
"FAQ и поддержка";"Вопросы и ответы (FAQ)";"https://help.planplace.online/voprosy-otvety/";"2";"PlanPlace - Как массово редактировать плитные материалы в PlanPlace: толщина, кромки, цены, Excel";"23:52";"2026-04-03T23:22:56";"23:19";"1399";"Техподдержка и полезные ссылки";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/?t=1399";"https://rutube.ru/video/6fbbe9eba65a39668af72d2710e3d102/"
"Конфигуратор: элементы, размеры, формулы";"Основы конфигуратора";"https://help.planplace.online/osnovy-konfiguratora/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"00:00";"0";"Старт, вход в конфигуратор через «Каталог модулей»";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=0";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Конфигуратор: элементы, размеры, формулы";"Основы конфигуратора";"https://help.planplace.online/osnovy-konfiguratora/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"01:00";"60";"Вкладка «Основные параметры»: название, категории, типы модулей (нижние/верхние/антресоли)";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=60";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Конфигуратор: элементы, размеры, формулы";"Параметры, формулы, позиционирование";"https://help.planplace.online/parametry-formuly-pozicionirovanie/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"02:48";"168";"Вкладка «Размеры»: габариты, ограничения, предустановленные значения, формулы в размерах";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=168";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Шаблоны, секции и присадки";"Секции и наполняемые секции";"https://help.planplace.online/sekcii-i-napolnyaemye-sekcii/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"04:36";"276";"Секция: размеры относительно родителя, точка отсчёта, формулы (ширина/2, ширина−корпус×2)";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=276";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Конфигуратор: элементы, размеры, формулы";"Параметры, формулы, позиционирование";"https://help.planplace.online/parametry-formuly-pozicionirovanie/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"07:42";"462";"Позиция и поворот элементов по осям X, Y, Z";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=462";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Конфигуратор: элементы, размеры, формулы";"Детали";"https://help.planplace.online/detali/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"10:05";"605";"Деталь: базовый элемент с материалом, формы (прямоугольник, L-вырез, радиус)";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=605";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Конфигуратор: элементы, размеры, формулы";"Детали";"https://help.planplace.online/detali/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"11:22";"682";"Настройка форм: визуальный редактор вырезов, поддержка формул в параметрах";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=682";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Конфигуратор: элементы, размеры, формулы";"Детали";"https://help.planplace.online/detali/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"12:29";"749";"Материалы детали: выбор, фиксация, направление текстуры";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=749";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Материалы и кромки";"Кромочные ленты";"https://help.planplace.online/kromochnye-lenty/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"14:14";"854";"Кромки: настройка толщины, привязка к библиотеке, учёт при позиционировании";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=854";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"3D-модели, фасады и наполнение";"3D-модели";"https://help.planplace.online/3d-modeli/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"16:24";"984";"3D-модели: добавление, растяжение по осям, привязка материала";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=984";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"3D-модели, фасады и наполнение";"Фасады и ручки";"https://help.planplace.online/fasady-i-ruchki/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"17:12";"1032";"Фасады: выбор типа, материала, ручек, направление профиля (важно для замены!)";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=1032";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Конфигуратор: элементы, размеры, формулы";"Параметры, формулы, позиционирование";"https://help.planplace.online/parametry-formuly-pozicionirovanie/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"21:21";"1281";"Глобальные переменные: столешница, цоколь, глубина/высота шкафов";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=1281";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Конфигуратор: элементы, размеры, формулы";"Параметры, формулы, позиционирование";"https://help.planplace.online/parametry-formuly-pozicionirovanie/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"22:21";"1341";"Сборка корпуса: стенки, царги, формулы с учётом толщины материала";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=1341";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Конфигуратор: элементы, размеры, формулы";"Детали";"https://help.planplace.online/detali/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"25:27";"1527";"Применение переменной в детали: формулы «ширина − корпус×2»";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=1527";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"3D-модели, фасады и наполнение";"3D-модели";"https://help.planplace.online/3d-modeli/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"28:07";"1687";"Добавление 3D-модели техники: позиционирование по центру через точку отсчёта";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=1687";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Конфигуратор: элементы, размеры, формулы";"Условия отображения и события";"https://help.planplace.online/usloviya-otobrazheniya-i-sobytiya/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"32:02";"1922";"Финальная настройка: высота модуля, двери, условия отображения столешницы";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=1922";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Конфигуратор: элементы, размеры, формулы";"Детали";"https://help.planplace.online/detali/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"39:37";"2377";"Технические вопросы: подсветка, пропилы, металл, панели без модулей";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=2377";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"3D-модели, фасады и наполнение";"3D-модели";"https://help.planplace.online/3d-modeli/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"43:51";"2631";"3D-модели: где брать базу, как импортировать/экспортировать";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=2631";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Сцена, спецификация и экспорт";"Экспорт в производство";"https://help.planplace.online/eksport-v-proizvodstvo/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"46:00";"2760";"Интеграция с «Базис-Мебельщик»: экспорт, присадки, кромки, тестирование";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=2760";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Цены, прайсы и наценки";"Правила расчёта цен (наценки)";"https://help.planplace.online/pravila-rascheta-cen-nacenki/";"3";"PlanPlace- Основы конфигуратора 2.0";"1:00:33";"2025-09-26T18:05:39";"51:01";"3061";"Ценообразование, фурнитура, наценки: принципы и ближайшие обновления";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/?t=3061";"https://rutube.ru/video/015ba1f7b1f0af4e6f3aaa169d765be5/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"00:00";"0";"Введение и архитектура шаблонов";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=0";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"02:34";"154";"Создание шаблонов: диапазоны размеров (min/max) и логика срабатывания";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=154";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"04:15";"255";"Привязка комплектующих к шаблонам и настройка количества";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=255";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"07:52";"472";"Виды комплектующих: постоянные, размерные и шаблонные";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=472";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"10:42";"642";"Автоматический и ручной режимы переключения шаблонов";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=642";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"12:33";"753";"Универсальность шаблонов: применение к столам, полкам, пеналам и другим элементам";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=753";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Материалы и кромки";"Группы плитных материалов";"https://help.planplace.online/gruppy-plitnyh-materialov/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"16:32";"992";"Система групп материалов: глобальные vs локальные настройки";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=992";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"19:06";"1146";"Переопределение материалов на уровнях модуля и шаблона";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=1146";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Материалы и кромки";"Группы плитных материалов";"https://help.planplace.online/gruppy-plitnyh-materialov/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"22:00";"1320";"Блокировка изменений, флаг «локальная группа» и сброс настроек";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=1320";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Материалы и кромки";"Группы плитных материалов";"https://help.planplace.online/gruppy-plitnyh-materialov/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"26:19";"1579";"Управление видимостью материалов и скрытие лишних позиций в сцене";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=1579";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"3D-модели, фасады и наполнение";"3D-модели";"https://help.planplace.online/3d-modeli/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"29:30";"1770";"Работа с готовыми 3D-моделями: импорт, группировка и замена";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=1770";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"3D-модели, фасады и наполнение";"3D-модели";"https://help.planplace.online/3d-modeli/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"31:47";"1907";"Настройка количества 3D-объектов через переменные";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=1907";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Интеграции и API";"Синхронизация по API";"https://help.planplace.online/sinhronizaciya-po-api/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"34:35";"2075";"Блок ответов на вопросы зрителей (тарифы, валюты, фрезеровки, API, наценки, двухцветные материалы)";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=2075";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"3D-модели, фасады и наполнение";"3D-модели";"https://help.planplace.online/3d-modeli/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"40:46";"2446";"Привязка цен и материалов к 3D-моделям через ключи";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=2446";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"3D-модели, фасады и наполнение";"3D-модели";"https://help.planplace.online/3d-modeli/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"45:33";"2733";"Импорт/экспорт 3D-моделей, работа с текстурами и регистронезависимый поиск";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=2733";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Цены, прайсы и наценки";"Прайс-листы";"https://help.planplace.online/prays-listy/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"49:17";"2957";"Расчёт стоимости сменяемых материалов (на примере обивки)";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=2957";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Шаблоны, секции и присадки";"Секции и наполняемые секции";"https://help.planplace.online/sekcii-i-napolnyaemye-sekcii/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"51:10";"3070";"Наполнение шкафов (брючницы, вешала, обувницы) через наполняемые секции";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=3070";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Цены, прайсы и наценки";"Правила расчёта цен (наценки)";"https://help.planplace.online/pravila-rascheta-cen-nacenki/";"4";"PlanPlace - основы конфигуратора, работа с шаблонами и ценами";"1:00:23";"2025-10-03T16:05:41";"53:18";"3198";"Ценообразование: текущие ограничения и планы по наценкам для групп товаров и дилеров";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/?t=3198";"https://rutube.ru/video/036829d63c85019284d9e9c4ff932939/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"00:00";"0";"Вступление и анонс тем";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=0";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"00:37";"37";"Что такое шаблоны в конфигураторе";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=37";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"02:34";"154";"Создание нового шаблона ящика";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=154";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
"Шаблоны, секции и присадки";"Шаблоны модулей";"https://help.planplace.online/shablony-moduley/";"5";"PlanPlace: продвинутое конфигурирование — шаблоны, группы материалов, цены (вебинар)";"57:59";"2025-10-12T13:13:20";"05:54";"354";"Комплектующие: три точки привязки";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/?t=354";"https://rutube.ru/video/6c16dc3c862699ae563cbf6e24053149/"
